1 ECON 3810chfr 2011: overall = 5.00, workload = 0.00, difficulty = 0.00
79 ECON 2727 2010: overall = 4.80, workload = 2.20, difficulty = 2.80
80 ECON 1393 2007: overall = 3.79, workload = 1.74, difficulty = 2.56
81 ECON 1420 2006: overall = 4.20, workload = 1.63, difficulty = 3.17
82 ECON 1341 2009: overall = 3.23, workload = 1.50, difficulty = 2.44
83 ECON 1432 2012: overall = 3.83, workload = 1.70, difficulty = 2.72
84 ECON 1661 2010: overall = 4.14, workload = 1.83, difficulty = 2.83
85 ECON 2030 2011: overall = 4.24, workload = 1.85, difficulty = 2.90
86 ECON 1432 2010: overall = 4.16, workload = 1.88, difficulty = 2.79
87 ECON 1420 2008: overall = 3.91, workload = 1.64, difficulty = 2.98
88 ECON 2465 2011: overall = 4.82, workload = 2.18, difficulty = 3.00
89 ECON 2040 2011: overall = 4.31, workload = 2.15, difficulty = 2.54
90 ECON 980u 2010: overall = 4.62, workload = 2.15, difficulty = 2.85
91 ECON 1410 2007: overall = 4.25, workload = 1.88, difficulty = 2.94
92 ECON 2056a 2009: overall = 4.57, workload = 2.21, difficulty = 2.71
93 ECON 1450r 2011: overall = 4.50, workload = 2.00, difficulty = 3.00
94 ECON 1056 2011: overall = 4.57, workload = 2.00, difficulty = 3.07
95 ECON 1435 2010: overall = 3.64, workload = 1.64, difficulty = 2.75
96 ECON 2811 2011: overall = 4.56, workload = 2.12, difficulty = 2.88
97 ECON 2041 2008: overall = 3.90, workload = 1.90, difficulty = 2.60
98 ECON 1340 2010: overall = 3.30, workload = 1.60, difficulty = 2.50
99 ECON 1059 2008: overall = 3.88, workload = 1.88, difficulty = 2.62
100 ECON 1389 2011: overall = 4.33, workload = 2.08, difficulty = 2.75
101 ECON 980b 2006: overall = 4.30, workload = 1.78, difficulty = 3.22
102 ECON 1410 2010: overall = 3.85, workload = 1.71, difficulty = 2.91
103 ECON 2030 2008: overall = 3.56, workload = 1.71, difficulty = 2.62
104 ECON 2728 2006: overall = 5.00, workload = 2.50, difficulty = 2.75
105 ECON 2728 2009: overall = 4.71, workload = 2.29, difficulty = 2.81
106 ECON 2030 2012: overall = 4.11, workload = 1.91, difficulty = 2.85
107 ECON 2330 2010: overall = 4.80, workload = 2.20, difficulty = 3.08
108 ECON 1420 2009: overall = 3.84, workload = 1.67, difficulty = 3.02
109 ECON 2149 2011: overall = 5.00, workload = 2.40, difficulty = 3.00
110 ECON 2333 2009: overall = 4.50, workload = 2.25, difficulty = 2.75
111 ECON 2070 2006: overall = 4.33, workload = 2.00, difficulty = 3.00
112 ECON 1815 2008: overall = 3.52, workload = 1.58, difficulty = 2.91
113 ECON 1393 2008: overall = 4.07, workload = 1.90, difficulty = 2.93
114 ECON 1393 2006: overall = 3.64, workload = 1.86, difficulty = 2.57
115 ECON 1410 2011: overall = 4.27, workload = 1.95, difficulty = 3.05
116 ECON 1340 2007: overall = 4.13, workload = 1.79, difficulty = 3.18
117 ECON 1032 2009: overall = 3.56, workload = 1.83, difficulty = 2.56
118 ECON 1530 2011: overall = 3.74, workload = 1.86, difficulty = 2.69
119 ECON 1393 2011: overall = 4.38, workload = 2.00, difficulty = 3.13
120 ECON 2611 2009: overall = 4.43, workload = 2.29, difficulty = 2.71
121 ECON 1018 2006: overall = 4.00, workload = 1.96, difficulty = 2.85
122 ECON 2390c 2008: overall = 3.33, workload = 1.67, difficulty = 2.67
123 ECON 980q 2012: overall = 4.27, workload = 2.20, difficulty = 2.73
124 ECON 1535 2007: overall = 3.93, workload = 2.00, difficulty = 2.73
125 ECON 1420 2011: overall = 4.03, workload = 1.86, difficulty = 3.07
126 ECON 1661 2009: overall = 4.04, workload = 1.93, difficulty = 2.98
127 ECON 2328 2008: overall = 4.67, workload = 2.25, difficulty = 3.08
128 ECON 1356 2011: overall = 4.29, workload = 2.00, difficulty = 3.12
129 ECON 1540 2009: overall = 5.00, workload = 2.50, difficulty = 3.00
130 ECON 980b 2011: overall = 4.50, workload = 2.21, difficulty = 3.00
131 ECON 1018 2010: overall = 3.29, workload = 1.67, difficulty = 2.70
132 ECON 1310 2011: overall = 3.65, workload = 1.85, difficulty = 2.77
133 ECON 1661 2008: overall = 3.98, workload = 1.98, difficulty = 2.92
134 ECON 1018 2011: overall = 3.39, workload = 1.71, difficulty = 2.79
135 ECON 2056a 2008: overall = 3.71, workload = 1.86, difficulty = 2.86
136 ECON 2085 2009: overall = 3.90, workload = 1.85, difficulty = 3.10
137 ECON 1010b 2007: overall = 4.00, workload = 1.88, difficulty = 3.16
138 ECON 1030 2006: overall = 4.17, workload = 2.08, difficulty = 3.00
139 ECON 1490 2011: overall = 4.56, workload = 2.21, difficulty = 3.18
140 ECON 1535 2010: overall = 3.94, workload = 1.88, difficulty = 3.12
141 ECON 3530hf 2007: overall = 4.00, workload = 2.00, difficulty = 3.00
142 ECON 2770hf 2010: overall = 4.00, workload = 2.00, difficulty = 3.00
143 ECON 2058 2007: overall = 4.00, workload = 2.00, difficulty = 3.00
144 ECON 2393 2009: overall = 5.00, workload = 2.00, difficulty = 4.00
145 ECON 2480 2012: overall = 4.00, workload = 2.00, difficulty = 3.00
146 ECON 1389 2010: overall = 4.10, workload = 1.91, difficulty = 3.27
147 ECON 1032 2010: overall = 4.41, workload = 2.29, difficulty = 2.95
148 ECON 1545 2012: overall = 4.62, workload = 2.19, difficulty = 3.33
149 ECON 2142 2011: overall = 4.00, workload = 1.83, difficulty = 3.33
150 ECON 1018 2009: overall = 3.12, workload = 1.61, difficulty = 2.82
151 ECON 1661 2011: overall = 3.62, workload = 1.81, difficulty = 3.00
152 ECON 1661 2007: overall = 3.75, workload = 1.92, difficulty = 2.95
153 ECON 2390b 2011: overall = 3.75, workload = 2.00, difficulty = 2.83
154 ECON 1018 2007: overall = 3.53, workload = 1.93, difficulty = 2.73
155 ECON 1051 2008: overall = 3.69, workload = 1.92, difficulty = 2.92
156 ECON 980x 2012: overall = 4.30, workload = 2.00, difficulty = 3.40
157 ECON 2325 2010: overall = 5.00, workload = 2.67, difficulty = 3.00
158 ECON 1425 2011: overall = 4.52, workload = 2.24, difficulty = 3.24
159 ECON 1535 2011: overall = 3.77, workload = 1.95, difficulty = 3.00
160 ECON 1530 2010: overall = 3.65, workload = 2.06, difficulty = 2.71
161 ECON 1460 2008: overall = 4.25, workload = 2.25, difficulty = 3.00
162 ECON 1420 2010: overall = 3.86, workload = 1.82, difficulty = 3.33
163 ECON 1545 2009: overall = 4.54, workload = 2.21, difficulty = 3.38
164 ECON 2450b 2010: overall = 3.30, workload = 2.00, difficulty = 2.50
165 ECON 2810a 2009: overall = 4.18, workload = 2.30, difficulty = 2.90
166 ECON 990 2011: overall = 4.00, workload = 2.33, difficulty = 2.67
167 ECON 2810a 2012: overall = 4.50, workload = 2.33, difficulty = 3.17
168 ECON 1776 2009: overall = 3.71, workload = 1.96, difficulty = 3.01
169 ECON 1051 2010: overall = 3.67, workload = 1.93, difficulty = 3.03
170 ECON 1542 2007: overall = 3.57, workload = 1.93, difficulty = 2.93
171 ECON 2450b 2007: overall = 4.00, workload = 2.38, difficulty = 2.62
172 ECON 2450a 2006: overall = 4.29, workload = 2.33, difficulty = 3.00
173 ECON 1010b 2009: overall = 3.82, workload = 1.91, difficulty = 3.24
174 ECON 1010b 2008: overall = 3.85, workload = 1.96, difficulty = 3.19
175 ECON 980b 2007: overall = 4.42, workload = 2.17, difficulty = 3.42
176 ECON 2030 2010: overall = 3.72, workload = 2.04, difficulty = 2.96
177 ECON 1030 2011: overall = 4.07, workload = 2.10, difficulty = 3.21
178 ECON 1357 2012: overall = 3.71, workload = 2.07, difficulty = 2.91
179 ECON 1010b 2011: overall = 3.65, workload = 1.83, difficulty = 3.26
180 ECON 2465 2009: overall = 4.90, workload = 2.80, difficulty = 2.90
181 ECON 2611 2007: overall = 4.75, workload = 2.50, difficulty = 3.25
182 ECON 2082 2012: overall = 3.90, workload = 1.90, difficulty = 3.40
183 ECON 2680 2006: overall = 4.33, workload = 2.00, difficulty = 3.67
184 ECON 1030 2010: overall = 4.12, workload = 2.18, difficulty = 3.18
185 ECON 1535 2008: overall = 3.87, workload = 2.11, difficulty = 3.05
186 ECON 2680 2012: overall = 4.25, workload = 2.38, difficulty = 3.00
187 ECON 2728 2010: overall = 4.75, workload = 2.58, difficulty = 3.17
188 ECON 1776 2011: overall = 3.55, workload = 1.95, difficulty = 3.02
189 ECON 1010b 2010: overall = 3.62, workload = 1.86, difficulty = 3.25
190 ECON 2450b 2009: overall = 2.73, workload = 1.64, difficulty = 2.73
191 ECON 2056b 2008: overall = 4.25, workload = 2.25, difficulty = 3.25
192 ECON 2144 2008: overall = 4.00, workload = 2.25, difficulty = 3.00
193 ECON 1545 2011: overall = 4.86, workload = 2.43, difficulty = 3.57
194 ECON 2412a 2011: overall = 3.80, workload = 2.14, difficulty = 3.00
195 ECON 1030 2007: overall = 3.96, workload = 2.19, difficulty = 3.08
196 ECON 1490 2009: overall = 4.42, workload = 2.42, difficulty = 3.16
197 ECON 1123 2008: overall = 3.58, workload = 2.01, difficulty = 3.01
198 ECON 2811 2009: overall = 4.67, workload = 2.67, difficulty = 3.00
199 ECON 2001 2012: overall = 4.00, workload = 1.67, difficulty = 4.00
200 ECON 1010b 2006: overall = 3.08, workload = 1.77, difficulty = 2.92
201 ECON 2450a 2007: overall = 4.71, workload = 2.71, difficulty = 3.00
202 ECON 2333 2006: overall = 4.27, workload = 2.45, difficulty = 3.00
203 ECON 2728 2008: overall = 4.12, workload = 2.62, difficulty = 2.57
204 ECON 1425 2009: overall = 4.58, workload = 2.58, difficulty = 3.11
205 ECON 1070 2010: overall = 4.78, workload = 2.44, difficulty = 3.56
206 ECON 1640 2008: overall = 4.19, workload = 2.31, difficulty = 3.19
207 ECON 980u 2012: overall = 4.00, workload = 2.14, difficulty = 3.29
208 ECON 2611 2010: overall = 5.00, workload = 2.80, difficulty = 3.20
209 ECON 2727 2008: overall = 4.00, workload = 2.33, difficulty = 3.00
210 ECON 2325 2011: overall = 5.00, workload = 2.83, difficulty = 3.17
211 ECON 1816 2006: overall = 4.28, workload = 2.37, difficulty = 3.22
212 ECON 980b 2008: overall = 4.36, workload = 2.45, difficulty = 3.18
213 ECON 2060 2011: overall = 3.96, workload = 2.32, difficulty = 3.00
214 ECON 2611 2006: overall = 4.50, workload = 2.50, difficulty = 3.25
215 ECON 1393 2010: overall = 3.70, workload = 1.96, difficulty = 3.35
216 ECON 1127 2010: overall = 4.38, workload = 2.52, difficulty = 3.10
217 ECON 2810a 2011: overall = 4.68, workload = 2.64, difficulty = 3.20
218 ECON 1060 2009: overall = 4.24, workload = 2.18, difficulty = 3.53
219 ECON 2041 2010: overall = 4.20, workload = 2.60, difficulty = 2.80
220 ECON 1410 2008: overall = 4.06, workload = 2.24, difficulty = 3.28
221 ECON 2811 2008: overall = 4.14, workload = 2.29, difficulty = 3.29
222 ECON 2142 2007: overall = 3.67, workload = 2.00, difficulty = 3.33
223 ECON 1531 2009: overall = 3.85, workload = 2.17, difficulty = 3.23
224 ECON 975 2010: overall = 4.00, workload = 2.25, difficulty = 3.25
225 ECON 2480 2011: overall = 5.00, workload = 3.00, difficulty = 3.00
226 ECON 1531 2011: overall = 3.20, workload = 1.80, difficulty = 3.20
227 ECON 2412c 2010: overall = 3.75, workload = 2.25, difficulty = 3.00
228 ECON 2410hfc 2012: overall = 5.00, workload = 3.00, difficulty = 3.00
229 ECON 2535 2008: overall = 5.00, workload = 3.00, difficulty = 3.00
230 ECON 1123 2011: overall = 3.53, workload = 2.16, difficulty = 2.93
231 ECON 2330 2008: overall = 4.67, workload = 2.73, difficulty = 3.13
232 ECON 2450a 2010: overall = 4.56, workload = 2.48, difficulty = 3.44
233 ECON 2060 2010: overall = 4.50, workload = 2.67, difficulty = 3.07
234 ECON 1640 2006: overall = 4.43, workload = 2.50, difficulty = 3.29
235 ECON 2811 2007: overall = 4.38, workload = 2.50, difficulty = 3.25
236 ECON 1030 2008: overall = 3.85, workload = 2.14, difficulty = 3.34
237 ECON 980b 2010: overall = 4.88, workload = 2.75, difficulty = 3.38
238 ECON 2060 2012: overall = 4.08, workload = 2.25, difficulty = 3.42
239 ECON 1010a1 2012: overall = 3.11, workload = 1.91, difficulty = 3.02
240 ECON 1542 2009: overall = 4.12, workload = 2.38, difficulty = 3.25
241 ECON 2060 2009: overall = 3.80, workload = 2.33, difficulty = 3.03
242 ECON 2535 2011: overall = 4.83, workload = 2.67, difficulty = 3.50
243 ECON 1820 2012: overall = 3.67, workload = 2.05, difficulty = 3.38
244 ECON 1760 2006: overall = 4.60, workload = 2.40, difficulty = 3.73
245 ECON 2450b 2006: overall = 4.22, workload = 2.56, difficulty = 3.11
246 ECON 2057 2009: overall = 4.38, workload = 2.54, difficulty = 3.31
247 ECON 1430 2010: overall = 3.50, workload = 2.00, difficulty = 3.33
248 ECON 2030 2009: overall = 3.65, workload = 2.39, difficulty = 2.83
249 ECON 1059 2009: overall = 4.12, workload = 2.50, difficulty = 3.12
250 ECON 2690hf 2012: overall = 4.00, workload = 2.50, difficulty = 3.00
251 ECON 1127 2008: overall = 3.12, workload = 2.00, difficulty = 2.96
252 ECON 1060 2008: overall = 4.33, workload = 2.44, difficulty = 3.44
253 ECON 1430 2006: overall = 2.82, workload = 1.64, difficulty = 3.27
254 ECON 970 2010: overall = 4.22, workload = 2.51, difficulty = 3.23
255 ECON 1745 2008: overall = 3.20, workload = 1.97, difficulty = 3.14
256 ECON 2412b 2010: overall = 4.10, workload = 2.60, difficulty = 3.00
257 ECON 2058 2008: overall = 3.50, workload = 2.25, difficulty = 3.00
258 ECON 1123 2008: overall = 3.25, workload = 2.03, difficulty = 3.12
259 ECON 2725 2006: overall = 4.86, workload = 3.17, difficulty = 2.83
260 ECON 1356 2009: overall = 4.06, workload = 2.39, difficulty = 3.33
261 ECON 1460 2009: overall = 3.91, workload = 2.36, difficulty = 3.27
262 ECON 1052 2006: overall = 4.14, workload = 2.50, difficulty = 3.27
263 ECON 1051 2007: overall = 3.14, workload = 1.90, difficulty = 3.29
264 ECON 985o 2012: overall = 3.27, workload = 2.27, difficulty = 2.82
265 ECON 1531 2008: overall = 4.00, workload = 2.50, difficulty = 3.17
266 ECON 1936 2012: overall = 4.39, workload = 2.17, difficulty = 4.11
267 ECON 970 2009: overall = 4.16, workload = 2.54, difficulty = 3.29
268 ECON 2811 2006: overall = 3.86, workload = 2.71, difficulty = 2.71
269 ECON 2811 2010: overall = 4.27, workload = 2.64, difficulty = 3.27
270 ECON 1542 2006: overall = 4.11, workload = 2.11, difficulty = 4.00
271 ECON 2390c 2010: overall = 4.00, workload = 2.50, difficulty = 3.25
272 ECON 1535 2009: overall = 3.20, workload = 2.05, difficulty = 3.22
273 ECON 1530 2009: overall = 4.11, workload = 2.33, difficulty = 3.67
274 ECON 2412a 2010: overall = 3.59, workload = 2.38, difficulty = 3.07
275 ECON 1389 2007: overall = 4.00, workload = 2.67, difficulty = 3.00
276 ECON 1687 2011: overall = 4.38, workload = 2.57, difficulty = 3.57
277 ECON 970 2011: overall = 4.25, workload = 2.60, difficulty = 3.39
278 ECON 2001 2010: overall = 5.00, workload = 3.00, difficulty = 3.50
279 ECON 2056b 2010: overall = 4.50, workload = 3.00, difficulty = 3.00
280 ECON 2450a 2008: overall = 4.50, workload = 3.00, difficulty = 3.00
281 ECON 1126 2011: overall = 4.38, workload = 2.53, difficulty = 3.67
282 ECON 1127 2007: overall = 3.00, workload = 1.96, difficulty = 3.25
283 ECON 2450a 2009: overall = 4.63, workload = 2.84, difficulty = 3.42
284 ECON 2723 2012: overall = 4.50, workload = 2.83, difficulty = 3.33
285 ECON 1531 2007: overall = 4.00, workload = 2.33, difficulty = 3.67
286 ECON 1010a2 2012: overall = 3.09, workload = 2.04, difficulty = 3.25
287 ECON 1430 2008: overall = 3.77, workload = 2.19, difficulty = 3.68
288 ECON 1816 2007: overall = 3.53, workload = 2.24, difficulty = 3.36
289 ECON 1123 2009: overall = 2.70, workload = 2.01, difficulty = 2.93
290 ECON 1052 2011: overall = 3.98, workload = 2.46, difficulty = 3.48
291 ECON 2390b 2008: overall = 3.47, workload = 2.20, difficulty = 3.43
292 ECON 1127 2011: overall = 4.43, workload = 2.91, difficulty = 3.21
293 ECON 1745 2009: overall = 3.16, workload = 2.14, difficulty = 3.23
294 ECON 2450a 2012: overall = 4.78, workload = 3.07, difficulty = 3.30
295 ECON 1745 2006: overall = 2.49, workload = 1.83, difficulty = 3.08
296 ECON 1745 2007: overall = 3.18, workload = 2.24, difficulty = 3.09
297 ECON 2450b 2008: overall = 3.57, workload = 2.33, difficulty = 3.33
298 ECON 2144 2007: overall = 4.80, workload = 2.80, difficulty = 3.80
299 ECON 2060 2007: overall = 3.88, workload = 2.56, difficulty = 3.31
300 ECON 2120 2006: overall = 3.75, workload = 2.67, difficulty = 3.00
301 ECON 1723 2011: overall = 3.86, workload = 2.33, difficulty = 3.69
302 ECON 1776 2010: overall = 3.38, workload = 2.24, difficulty = 3.36
303 ECON 1011b 2010: overall = 3.68, workload = 2.31, difficulty = 3.55
304 ECON 2020b 2010: overall = 4.05, workload = 2.58, difficulty = 3.47
305 ECON 2530b 2010: overall = 4.20, workload = 2.60, difficulty = 3.60
306 ECON 1011b 2009: overall = 3.71, workload = 2.38, difficulty = 3.49
307 ECON 1052 2008: overall = 3.92, workload = 2.50, difficulty = 3.50
308 ECON 1530 2006: overall = 2.67, workload = 1.82, difficulty = 3.39
309 ECON 970 2008: overall = 3.93, workload = 2.57, difficulty = 3.41
310 ECON 1011b 2007: overall = 3.55, workload = 2.18, difficulty = 3.68
311 ECON 2725 2009: overall = 4.44, workload = 3.00, difficulty = 3.22
312 ECON 2390c 2009: overall = 4.17, workload = 2.67, difficulty = 3.50
313 ECON 1745 2011: overall = 3.08, workload = 2.12, difficulty = 3.33
314 ECON 1123 2007: overall = 2.58, workload = 2.17, difficulty = 2.75
315 ECON 1126 2007: overall = 4.29, workload = 2.71, difficulty = 3.57
316 ECON 2723 2006: overall = 4.86, workload = 2.71, difficulty = 4.14
317 ECON 1123 2010: overall = 2.92, workload = 2.13, difficulty = 3.19
318 ECON 2530a 2011: overall = 4.50, workload = 2.75, difficulty = 3.75
319 ECON 1687 2010: overall = 4.33, workload = 2.50, difficulty = 4.00
320 ECON 1011b 2006: overall = 3.37, workload = 2.21, difficulty = 3.53
321 ECON 1642 2008: overall = 4.83, workload = 2.83, difficulty = 4.00
322 ECON 1127 2009: overall = 4.00, workload = 2.83, difficulty = 3.17
323 ECON 2450a 2011: overall = 4.09, workload = 2.73, difficulty = 3.45
324 ECON 2056b 2009: overall = 3.71, workload = 2.43, difficulty = 3.57
325 ECON 1123 2007: overall = 3.58, workload = 2.49, difficulty = 3.37
326 ECON 1723 2008: overall = 4.06, workload = 2.53, difficulty = 3.79
327 ECON 1723 2007: overall = 4.17, workload = 2.67, difficulty = 3.67
328 ECON 2144 2010: overall = 4.50, workload = 2.75, difficulty = 3.88
329 ECON 2723 2009: overall = 4.83, workload = 2.83, difficulty = 4.08
330 ECON 2810a 2008: overall = 3.90, workload = 2.80, difficulty = 3.20
331 ECON 2810a 2007: overall = 4.45, workload = 3.09, difficulty = 3.27
332 ECON 1640 2010: overall = 4.10, workload = 2.75, difficulty = 3.50
333 ECON 2328 2006: overall = 4.18, workload = 3.10, difficulty = 3.00
334 ECON 2390b 2012: overall = 3.50, workload = 2.57, difficulty = 3.21
335 ECON 2480 2011: overall = 5.00, workload = 3.00, difficulty = 4.00
336 ECON 2390c 2011: overall = 4.00, workload = 3.00, difficulty = 3.00
337 ECON 1460 2006: overall = 3.25, workload = 2.25, difficulty = 3.50
338 ECON 2149 2009: overall = 4.14, workload = 3.00, difficulty = 3.14
339 ECON 1011a 2007: overall = 2.40, workload = 1.70, difficulty = 3.58
340 ECON 10 2010: overall = 3.28, workload = 2.39, difficulty = 3.32
341 ECON 2060 2008: overall = 4.42, workload = 2.92, difficulty = 3.58
342 ECON 1357 2010: overall = 4.18, workload = 2.91, difficulty = 3.36
343 ECON 985l 2012: overall = 4.60, workload = 3.20, difficulty = 3.30
344 ECON 1723 2012: overall = 3.84, workload = 2.58, difficulty = 3.58
345 ECON 10 2011: overall = 3.27, workload = 2.43, difficulty = 3.27
346 ECON 1123 2006: overall = 3.20, workload = 2.30, difficulty = 3.43
347 ECON 2140 2011: overall = 4.38, workload = 3.05, difficulty = 3.38
348 ECON 10 2010: overall = 3.31, workload = 2.44, difficulty = 3.34
349 ECON 2142 2009: overall = 4.10, workload = 2.70, difficulty = 3.70
350 ECON 970 2009: overall = 4.50, workload = 3.17, difficulty = 3.33
351 ECON 2020b 2009: overall = 3.69, workload = 2.53, difficulty = 3.59
352 ECON 1052 2007: overall = 3.85, workload = 2.65, difficulty = 3.55
353 ECON 2680 2010: overall = 4.33, workload = 2.67, difficulty = 4.00
354 ECON 970 2007: overall = 3.90, workload = 2.75, difficulty = 3.46
355 ECON 2390b 2010: overall = 3.00, workload = 2.50, difficulty = 3.00
356 ECON 2059 2011: overall = 4.43, workload = 2.86, difficulty = 3.86
357 ECON 2810a 2010: overall = 2.90, workload = 2.40, difficulty = 3.10
358 ECON 10 2011: overall = 3.23, workload = 2.42, difficulty = 3.40
359 ECON 1642 2010: overall = 4.26, workload = 2.78, difficulty = 3.83
360 ECON 1060 2011: overall = 3.25, workload = 2.25, difficulty = 3.73
361 ECON 1123 2009: overall = 2.51, workload = 2.03, difficulty = 3.38
362 ECON 2725 2010: overall = 4.11, workload = 3.22, difficulty = 3.00
363 ECON 1123 2011: overall = 3.30, workload = 2.45, difficulty = 3.48
364 ECON 1745 2010: overall = 3.46, workload = 2.50, difficulty = 3.56
365 ECON 2611 2011: overall = 4.36, workload = 3.00, difficulty = 3.64
